names,artist_names,artist_genres,albums
OMG,NewJeans,"['k-pop', 'k-pop girl group']",NewJeans 'OMG'
Boyfriend,Dove Cameron,['pop'],Boyfriend
Wait a Minute!,WILLOW,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",ARDIPITHECUS
Levitating,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Future Nostalgia
Cool for the Summer,Demi Lovato,"['pop', 'post-teen pop']",Confident
Arranca (feat. Omega),Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",Arranca (feat. Omega)
THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,"['k-pop', 'k-pop girl group', 'pop']",THE GIRLS (BLACKPINK THE GAME OST)
God is a woman,Ariana Grande,['pop'],Sweetener
CAKE,ITZY,"['k-pop', 'k-pop girl group']",KILL MY DOUBT
B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,['house'],B.O.T.A. (Baddest Of Them All)
Can't Tame Her,Zara Larsson,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",Can't Tame Her
NEW DANCE,XG,['k-pop girl group'],NEW DANCE
HEATED,Beyoncé,"['pop', 'r&b']",RENAISSANCE
Padam Padam,Kylie Minogue,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",Padam Padam
Spicy,aespa,['k-pop girl group'],MY WORLD - The 3rd Mini Album
Sorry Not Sorry,Demi Lovato,"['pop', 'post-teen pop']",Tell Me You Love Me
ALIEN SUPERSTAR,Beyoncé,"['pop', 'r&b']",RENAISSANCE
I'm Not Here To Make Friends,Sam Smith,"['pop', 'uk pop']",Gloria
LEFT RIGHT,XG,['k-pop girl group'],SHOOTING STAR
Karma (feat. Ice Spice),Taylor Swift,['pop'],Midnights (The Til Dawn Edition)
Power,Little Mix,"['girl group', 'pop', 'talent show', 'uk pop']",Glory Days (Expanded Edition)
Slumber Party (feat. Princess Nokia),Ashnikko,"['alt z', 'escape room']",DEMIDEVIL
Primadonna,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",Electra Heart (Deluxe)
Rush (feat. PinkPantheress & Hyunjin of Stray Kids),Troye Sivan,"['australian pop', 'pop', 'viral pop']",Rush (feat. PinkPantheress & Hyunjin of Stray Kids)
cinderella's dead,EMELINE,['alt z'],cinderella's dead
LLYLM,ROSALÍA,"['latin viral pop', 'pop', 'r&b en espanol']",LLYLM
My Love (feat. Ayra Starr),Leigh-Anne,[],My Love (feat. Ayra Starr)
0800 HEAVEN,Nathan Dawe,"['pop dance', 'uk dance']",0800 HEAVEN (feat. Ella Henderson) [Symmetrik Remix]
Feelings (feat. J Hus),Jorja Smith,"['r&b', 'uk contemporary r&b']",Feelings (feat. J Hus)
Chemical,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Chemical
Jam Inside Your Love (feat. Carla Monroe),Sam Green,[],Jam Inside Your Love (feat. Carla Monroe)
Shella Verse,Sammy Virji,"['bass house', 'bassline', 'old school bassline']",Shella Verse
I Found You,Sub Focus,"['dancefloor dnb', 'drum and bass', 'uk dance']",I Found You
Yesterday,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",Yesterday
Got My Mind Set On You,George Harrison,"['album rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",Cloud Nine
99 Red Balloons - Club Mix,Nena,"['german pop', 'new wave pop']",Maxis & Mixes
Teardrops - Single Version,Womack & Womack,['disco'],Happy Classics
Pengtreesha,The Plug,['uk hip hop'],Plug Talk 2
Stick To The Plan,Offica,"['anime drill', 'irish drill', 'irish hip hop']",Stick To The Plan
Toxic (feat. Bad Boy Chiller Crew),Nines,['uk hip hop'],Crop Circle 3
Waste Time,Abra Cadabra,"['grime', 'uk drill', 'uk hip hop']",TRAPPING - The Movie Soundtrack
Last Laugh,Ceechynaa,[],Last Laugh
Get Out The Way feat. BackRoad Gee,Dizzee Rascal,"['grime', 'instrumental grime']",Get Out The Way feat. BackRoad Gee
It's Up,Lil Macks,['uk melodic rap'],It's Up
I Suppose,Knucks,"['melodic drill', 'uk alternative hip hop']",I Suppose
CELLY,Ashbeck,"['chill drill', 'uk alternative hip hop']",RUSH HOUR
Pink,Lil Pino,['uk hip hop'],Pink
Impeccable Timing,Nafe Smallz,"['afroswing', 'uk hip hop']",Impeccable Timing
Lemon Tree,Fools Garden,['german pop rock'],Dish of the Day
Alright,Supergrass,"['alternative rock', 'britpop', 'oxford indie']",I Should Coco
It's My Life,Dr. Alban,"['eurodance', 'europop', 'hip house']",One Love
Cloudy Day,Tones And I,['australian pop'],Welcome To The Madhouse
Good Vibrations,Nectar Woode,[],Good Vibrations
Heaven,Niall Horan,['pop'],The Show
Crazy What Love Can Do,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Crazy What Love Can Do
Dive,Olivia Dean,['pop soul'],Messy
Whistle (feat. Calum Scott),Jax Jones,"['dance pop', 'edm', 'house', 'pop dance', 'uk dance', 'uk pop']",Whistle (feat. Calum Scott)
Relax My Eyes,ANOTR,['dutch tech house'],Relax My Eyes
Music For a Sushi Restaurant,Harry Styles,['pop'],Harry's House
Meltdown,Niall Horan,['pop'],The Show
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,"['dance pop', 'edm', 'pop', 'pop dance']",Heartbreak Anthem (with David Guetta & Little Mix)
Pretty Girl (with Rema),Ice Spice,['bronx drill'],Pretty Girl (with Rema)
Just Dance,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame
Without Me,Eminem,"['detroit hip hop', 'hip hop', 'rap']",The Eminem Show
In the End,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Hybrid Theory (Bonus Edition)
Heartless,Kanye West,"['chicago rap', 'hip hop', 'rap']",808s & Heartbreak
Numb,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Meteora
Poker Face,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame
Smack That,Akon,['dance pop'],Konvicted
Till I Collapse,Eminem,"['detroit hip hop', 'hip hop', 'rap']",The Eminem Show
The Way I Are,Timbaland,"['dance pop', 'pop', 'pop rap']",Shock Value
Yeah! (feat. Lil Jon & Ludacris),USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",Confessions (Expanded Edition)
Hate It Or Love It,The Game,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",The Documentary
Paparazzi,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame
How You Remind Me,Nickelback,"['alternative metal', 'canadian rock', 'post-grunge']",Silver Side Up
Stronger,Kanye West,"['chicago rap', 'hip hop', 'rap']",Graduation
Hey Ya!,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",Speakerboxxx/The Love Below
The Middle,Jimmy Eat World,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",Bleed American
Stan,Eminem,"['detroit hip hop', 'hip hop', 'rap']",The Marshall Mathers LP
Clocks,Coldplay,"['permanent wave', 'pop']",A Rush of Blood to the Head
Ms. Jackson,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",Stankonia
Last Resort,Papa Roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",Infest
Low (feat. T-Pain),Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Mail on Sunday
Gold Digger,Kanye West,"['chicago rap', 'hip hop', 'rap']",Late Registration
Candy Shop,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",The Massacre
Alright,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",To Pimp A Butterfly
All Falls Down,Kanye West,"['chicago rap', 'hip hop', 'rap']",The College Dropout
Don't Stop The Music,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",Good Girl Gone Bad: Reloaded
Back To Black,Amy Winehouse,"['british soul', 'neo soul']",Back To Black (Deluxe Edition)
Take Me Out,Franz Ferdinand,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",Franz Ferdinand
Wake Me up When September Ends,Green Day,"['modern rock', 'permanent wave', 'punk', 'rock']",American Idiot
Forgot About Dre,Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2001
Thnks fr th Mmrs,Fall Out Boy,"['emo', 'modern rock', 'pop', 'rock']",Infinity On High
Run This Town,JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",The Blueprint 3
The Pretender,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']","Echoes, Silence, Patience & Grace"
I Knew You Were Trouble.,Taylor Swift,['pop'],Red (Big Machine Radio Release Special)
Boulevard of Broken Dreams,Green Day,"['modern rock', 'permanent wave', 'punk', 'rock']",Greatest Hits: God's Favorite Band
Put Your Records On,Corinne Bailey Rae,"['british soul', 'neo soul', 'pop soul', 'soul']",Corinne Bailey Rae
Hey There Delilah,Plain White T's,"['modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock']",All That We Needed
Beautiful Girls,Sean Kingston,"['dance pop', 'miami hip hop', 'pop']",Beautiful Girls
Welcome to the Black Parade,My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",The Black Parade
Dilemma,Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",Nellyville
This Is The Life,Amy Macdonald,['scottish singer-songwriter'],This Is The Life (eDeluxe)
"Sugar, We're Goin Down",Fall Out Boy,"['emo', 'modern rock', 'pop', 'rock']",From Under The Cork Tree
Down,Jay Sean,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",All Or Nothing
Rude Boy,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",Rated R
Kiss Me Thru The Phone,Soulja Boy,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",iSouljaBoyTellem
Alors on danse - Radio Edit,Stromae,"['belgian pop', 'g-house']",Cheese
American Boy,Estelle,"['neo soul', 'r&b']",Shine
Unwritten,Natasha Bedingfield,"['dance pop', 'pop', 'post-teen pop']",Unwritten
When You Were Young,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",Sam's Town
"Dance, Dance",Fall Out Boy,"['emo', 'modern rock', 'pop', 'rock']",From Under The Cork Tree
Lose Yourself,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Curtain Call: The Hits (Deluxe Edition)
Right Now (Na Na Na),Akon,['dance pop'],Freedom
Electric Feel,MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",Oracular Spectacular
Savior,Rise Against,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']",Appeal To Reason
Womanizer,Britney Spears,"['dance pop', 'pop']",Circus (Deluxe Version)
Lady - Hear Me Tonight,Modjo,"['disco house', 'filter house']",Modjo (Remastered)
Kids,MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",Oracular Spectacular
Young Folks,Peter Bjorn and John,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'shimmer pop', 'swedish alternative rock', 'swedish indie pop']",Writer's Block
Dynamite,Taio Cruz,"['dance pop', 'pop', 'pop rap']",The Rokstarr Hits Collection
I Miss You,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",blink-182
Sk8er Boi,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop']",Let Go
Best of You,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",In Your Honor
Give It To Me,Timbaland,"['dance pop', 'pop', 'pop rap']",Shock Value
Ride Wit Me,Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",Country Grammar
Drop It Like It's Hot,Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",R&G (Rhythm & Gangsta): The Masterpiece
All The Things She Said,t.A.T.u.,"['dance pop', 'girl group']",200 KM/H In The Wrong Lane (10th Anniversary Edition)
La Tortura (feat. Alejandro Sanz),Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']","Fijación Oral, Vol. 1"
Here Without You,3 Doors Down,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",Away From The Sun
Don't Know Why,Norah Jones,"['contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",Come Away With Me (Super Deluxe Edition)
By the Way,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",By the Way (Deluxe Edition)
Behind Blue Eyes,Limp Bizkit,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Results May Vary
Angel,Shaggy,"['pop rap', 'reggae fusion']",Hot Shot
Right Round,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",R.O.O.T.S. (Route of Overcoming the Struggle)
Fake It,Seether,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']",Finding Beauty In Negative Spaces (Bonus Track Version)
I Gotta Feeling,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",THE E.N.D. (THE ENERGY NEVER DIES)
Halo,Beyoncé,"['pop', 'r&b']",I AM...SASHA FIERCE
Winter Wonderland,Tony Bennett,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",Snowfall: The Tony Bennett Christmas Album
I'll Be Home for Christmas,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Christmas
Silent Night,Mariah Carey,"['dance pop', 'pop', 'urban contemporary']",Merry Christmas
Have Yourself a Merry Little Christmas,Christina Aguilera,"['dance pop', 'pop']",My Kind Of Christmas
Sarah's Place (feat. Noah Kahan),Zach Bryan,"['classic oklahoma country', 'modern country pop']",Boys Of Faith
Dial Drunk (with Post Malone),Noah Kahan,['pov: indie'],Dial Drunk (with Post Malone)
Cupid - Twin Ver.,FIFTY FIFTY,['k-pop girl group'],The Beginning: Cupid
Lollipop,Darell,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",EVERYBODY GO TO THE DISCOTEK
COLMILLO,Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",DATA
Buenas,Quevedo,"['rap canario', 'trap latino', 'urbano latino']",Buenas
FERXXO 151,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",FERXXO 151
DE LUNES A LUNES,Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",DE LUNES A LUNES
Onana,Jey One,['dembow dominicano'],Onana
El Jefe,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",El Jefe
GTA.mp3,Emilia,['pop argentino'],GTA.mp3
El Mambo,Kiko Rivera,"['electro bailando', 'electro latino']",El Mambo
HOUSE OF LUX,DannyLux,['sad sierreno'],DLUX
WHAT JUST HAPPENED,The Kid LAROI,['australian hip hop'],WHAT JUST HAPPENED
REPEAT,Jay Wheeler,"['reggaeton', 'trap latino', 'urbano latino']",TRAPPii
Flip a Coin,Dylan Gossett,[],No Better Time
The American Dream Is Killing Me,Green Day,"['modern rock', 'permanent wave', 'punk', 'rock']",The American Dream Is Killing Me
Out of Luck,Mariah the Scientist,['alternative r&b'],To Be Eaten Alive
FATAL FANTASSY,Alvaro Diaz,"['trap boricua', 'urbano latino']",FATAL FANTASSY
TALK!,Elley Duhé,['alt z'],PHOENIX
A Love Song,Lady A,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",A Love Song
Spinnin',Flatland Cavalry,"['classic texas country', 'red dirt']",Wandering Star
Ice Cream (Pay Phone),Black Pumas,['retro soul'],Ice Cream (Pay Phone)
Without You (Blxst Interlude),Larry June,['cali rap'],Without You (Blxst Interlude)
PARANOIA,HEARTSTEEL,[],PARANOIA
The Tower,Future Islands,"['alternative dance', 'art pop', 'baltimore indie', 'chamber pop', 'indie rock', 'indietronica', 'neo-synthpop', 'shimmer pop']",The Tower
Stranger,Thomas Day,"['gen z singer-songwriter', 'singer-songwriter pop']",Love Me For Another Day
ONE THING,DESTIN CONRAD,"['alternative r&b', 'indie r&b']",SUBMISSIVE
Jaguar,Yaeger,[],Jaguar
God of Music,SEVENTEEN,"['k-pop', 'k-pop boy group']",SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN'
God Is In The Soundwaves,Armin van Buuren,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",God Is In The Soundwaves
Robbery 6,Tee Grizzley,"['detroit hip hop', 'detroit trap', 'rap', 'southern hip hop', 'trap']",Robbery 6
Zig,Poppy,['alt z'],Zig
Spider Bites,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk']",History Books
Making It Through,Angie McMahon,['australian indie'],Making It Through
Moon,Teethe,['lo-fi indie'],All Over Again b/w Moon
You Never Visit Me (feat. Wale & Enny),Masego,"['alternative r&b', 'indie soul']",You Never Visit Me (feat. Wale & Enny)
ojos. labios. cara.,Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",ojos. labios. cara.
Still Believe In Love,Mary J. Blige,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",Still Believe In Love
Whip It Up,Justine Skye,"['pop r&b', 'r&b']",Whip It Up
Favorite Girl (feat. Offset),Chxrry22,[],Siren
Take My Chance,MK,"['house', 'pop dance']",Take My Chance
Ice Cream (feat. YN Jay & Riff Raff),BabyTron,"['detroit hip hop', 'scam rap']",MegaTron 2
Snake at The Altar,The South Hill Experiment,[],Snake at The Altar
DOOMED,WesGhost,[],CURSED / DOOMED
Keep Going,Taking Back Sunday,"['emo', 'neon pop punk', 'pop punk', 'post-hardcore', 'screamo']",152
ASHAMED,HEALTH,"['grave wave', 'metropopolis', 'noise pop', 'noise rock']",ASHAMED
On My Way,Kaskade,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",REDUX 006
Habla Con Ella,Sofia Kourtesis,['experimental house'],Madres
Pray For Me,Lekan,[],Pray For Me
Where Do I Go,MINOVA,[],Where Do I Go
Wasterpiece,The Kills,"['alternative dance', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'new rave']",Wasterpiece
The Last One,Maisie Peters,"['alt z', 'uk pop']",The Good Witch (Deluxe)
Damn Gloves,serpentwithfeet,"['alternative r&b', 'escape room', 'experimental r&b']",Damn Gloves
DND,Free Party,['indie hip hop'],DND
Hola Jaina,Jace!,[],Celestial 2
South,quannnic,[],South
control,44phantom,[],all my bad feelings
Too Strange for the Circus,Debbii Dawson,[],Too Strange for the Circus
Backseat,Julia Pratt,[],Two to Tango
Fall On You,Ivan Theva,[],Gardens
LOCO X PERREARTE,Wisin,"['reggaeton', 'urbano latino']",LOCO X PERREARTE
Sin City,Shordie Shordie,"['baltimore hip hop', 'cali rap']",Memory Lane 2
Dreamteam,Galantis,"['dance pop', 'edm', 'pop', 'pop dance']",Dreamteam
f0rbiidden l0ve$tory,horsegiirL,[],f0rbiidden l0ve$tory
AIN’T ON SHIT (feat. Lil Zay Osama),Mozzy,"['cali rap', 'sacramento hip hop']",AIN’T ON SHIT (feat. Lil Zay Osama)
Chang’e,King Gizzard & The Lizard Wizard,"['australian psych', 'double drumming', 'microtonal', 'neo-psychedelic']",The Silver Cord
Just Think,Video Age,['experimental pop'],Away From The Castle
i can't get my shit together,Baby Queen,['modern alternative pop'],i can't get my shit together
Just go with it,26fix,[],Just go with it
PSYCHO KILLER (featuring Victoria De Angelis),Duran Duran,"['album rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",PSYCHO KILLER (featuring Victoria De Angelis)
just a house,Alana Springsteen,"['contemporary country', 'country pop', 'modern country pop']",TWENTY SOMETHING (DELUXE)
Another Day at the Factory,Josiah and the Bonnevilles,"['modern folk rock', 'stomp and holler']",Endurance
6 BUSINESS DAYS (feat. Projexx),Blaqbonez,"['afrobeats', 'nigerian hip hop', 'nigerian pop']",Emeka Must Shine
bluetooth,piri,[],bluetooth
LALALA,Duck Sauce,['disco house'],LALALA
Yesterday,Harmony,[],Yesterday
Trying,mercury,[],Trying
wish you would,Elle Darlington,[],wish you would
Don't Hate Me When It's Over,Stephen Dawes,['singer-songwriter pop'],The Day We Met
Go To Bed Lonely,The Cadillac Three,['modern southern rock'],The Years Go Fast
Mercy,Trip Lee,"['christian hip hop', 'dfw rap']",The Epilogue.
backup plan,Ezra,[],backup plan
WORTH IT (feat. Don Toliver),Offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",SET IT OFF
"Likka Sto 2 (feat. Travis Scott, G Herbo & BIA)",Lil Blessin,[],"Likka Sto 2 (feat. Travis Scott, G Herbo & BIA)"
SKYAMI (feat. Mango Foo),Offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",SET IT OFF
Why Would I?,Fivio Foreign,"['brooklyn drill', 'new york drill', 'trap']",Why Would I?
Grizzley 2Tymes (feat. Finesse2Tymes),Tee Grizzley,"['detroit hip hop', 'detroit trap', 'rap', 'southern hip hop', 'trap']",Grizzley 2Tymes (feat. Finesse2Tymes)
Go Off,Doja Cat,"['dance pop', 'pop']",Scarlet
"Big Dawg (Moneybagg Yo, Sexyy Red)",Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']","Big Dawg (Moneybagg Yo, Sexyy Red)"
Bluffin (feat. Lil Baby),Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Bluffin (feat. Lil Baby)
Hellcat Kenny (feat. Lil Uzi Vert),Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",BUSINESS IS BUSINESS
SHAKE SUMN (with Sexyy Red) - REMIX,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",SHAKE SUMN (with Sexyy Red) [REMIX]
I'm Geekin (feat. NLE Choppa & BIA) - Remix,DDG,['pop rap'],I'm Geekin (feat. NLE Choppa & BIA) [Remix]
Florida Water (feat. Luh Tyler),Danny Towers,[],Florida Water (feat. Luh Tyler)
MVP (feat. G-Eazy),A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",MVP (feat. G-Eazy)
Modo Insano,Carin Leon,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']",Modo Insano
La Fresa,Eslabon Armado,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",La Fresa
Sobran Motivos,Conjunto Rienda Real,['sad sierreno'],Sobran Motivos
El Azul,Junior H,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",El Azul
La Mamoncita del Insta,Gabito Ballesteros,"['corrido', 'sierreno']",La Mamoncita del Insta
No Quiero Perderte,Edgardo Nuñez,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",No Quiero Perderte
Pal Amor Soy Malo - Remix,Adrian L Santos,['sad sierreno'],Pal Amor Soy Malo (Remix)
Vete,Alfredo Olivas,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",ALFA & OMEGA
Solitario - En Vivo,Virlan Garcia,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",Solitario (En Vivo)
cómo dormiste?,La Receta,"['corrido', 'musica sinaloense']",cómo dormiste?
QLONA,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",MAÑANA SERÁ BONITO (BICHOTA SEASON)
Corazón Roto pt. 3,Brray,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",Corazón Roto pt. 3
AMARGURA,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",MAÑANA SERÁ BONITO
OKI DOKI,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",MAÑANA SERÁ BONITO (BICHOTA SEASON)
La Bebe - Remix,Yng Lvcas,['reggaeton'],La Bebe (Remix)
POLARIS - Remix,Saiko,"['urbano espanol', 'urbano latino']",POLARIS (Remix)
PICARDÍA,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",PLAYA SATURNO
Hey Mor,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",OzuTochi
FERXXO 30,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']","MOR, No Le Temas a La Oscuridad"
UNA NOCHE EN MEDELLÍN - REMIX,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",MAÑANA SERÁ BONITO (BICHOTA SEASON)
ID,Young Miko,"['trap latino', 'urbano latino']",ID
Ex-Special,Jhayco,"['reggaeton', 'trap latino', 'urbano latino']",Ex-Special
De Lejitos,Andy Rivera,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",De Lejitos
Yankee 150,Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",Yankee 150
Ojos Azules,Blessd,"['reggaeton', 'urbano latino']",Ojos Azules
GHETTO PRINCESS,Ovy On The Drums,"['colombian pop', 'reggaeton colombiano', 'urbano latino']",GHETTO PRINCESS
RITMO DE MEDALLO,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']","MOR, No Le Temas a La Oscuridad"
Otro Show,Uzielito Mix,"['perreo', 'reggaeton mexicano']",Otro Show
Oh Na Na,Nio Garcia,"['reggaeton', 'trap latino', 'urbano latino']",Oh Na Na
GATITA GANGSTER,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",MAÑANA SERÁ BONITO (BICHOTA SEASON)
Trofeo,Maluma,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",Don Juan
Ella Perrea,Chesca,['urbano latino'],ALTER EGO
X ESO BB,Jere Klein,['reggaeton chileno'],X ESO BB
Borracho y Loco,Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",Borracho y Loco
Julietota,LATIN MAFIA,['urbano mexicano'],Julietota
Escándalo,Ñengo Flow,"['reggaeton', 'trap latino', 'urbano latino']",Escándalo
NO PARE - REMIX,NATTI NATASHA,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']",NO PARE (REMIX)
La Manzana,Justin Quiles,"['reggaeton', 'trap latino', 'urbano latino']",La Manzana
Mas Rica Que Ayer,Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",Mas Rica Que Ayer
EN VISTO,Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",DATA
Podemos Repetirlo (Remix),Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",Podemos Repetirlo (Remix)
